dutch,english,topic,section,definition
polis,policy,Topic 3,Een zorgverzekering,een document waarin staat welke verzekering je hebt,a document stating which insurance you have
premie,premium,Topic 3,Een zorgverzekering,het geld dat je iedere maand moet betalen voor je verzekering,the money you have to pay every month for your insurance
vergoeden,reimburse,Topic 3,Een zorgverzekering,de kosten betalen; de zorgverzekering vergoedt de kosten van de arts,paying the costs; health insurance reimburses the costs of the doctor
zorgverlener,healthcare provider,Topic 3,Een zorgverzekering,iemand die medische zorg verleent voor zijn beroep bijvoorbeeld een arts,someone who provides medical care as their profession for example a doctor
zorgverzekering,health insurance,Topic 3,Een zorgverzekering,als je een zorgverzekering hebt betaal je regelmatig een bedrag en krijg je geld als je zorg nodig hebt,if you have health insurance you regularly pay an amount and get money when you need care
buurtkrant,neighborhood newspaper,Topic 3,Hulpverlening,een krant die iedereen in de buurt gratis krijgt,a newspaper that everyone in the neighborhood gets for free
deskundige,expert,Topic 3,Hulpverlening,iemand die veel weet van een bepaald onderwerp,someone who knows a lot about a specific subject
huishoudelijke hulp,domestic help,Topic 3,Hulpverlening,iemand die schoonmaakt bij mensen thuis,someone who cleans at people's homes
hulpverlener,care provider,Topic 3,Hulpverlening,iemand die voor zijn beroep andere mensen helpt,someone who helps other people as their profession
hulpverlening,care provision,Topic 3,Hulpverlening,de zorg vanuit de overheid voor mensen die hulp nodig hebben,care from the government for people who need help
inloopspreekuur,walk-in consultation,Topic 3,Hulpverlening,een spreekuur waar je naartoe kunt gaan zonder een afspraak te maken,consultation hours you can go to without making an appointment
maatschappelijk werker,social worker,Topic 3,Hulpverlening,iemand die voor zijn beroep mensen helpt die problemen hebben,someone who helps people with problems as their profession
schuldhulp,debt assistance,Topic 3,Hulpverlening,hulp voor mensen met veel schulden om de geldproblemen op te lossen,help for people with many debts to solve money problems
sociaal wijkteam,social neighborhood team,Topic 3,Hulpverlening,een organisatie die mensen in een buurt gratis helpt bijvoorbeeld bij problemen met geld opvoeding of eenzaamheid,an organization that helps people in a neighborhood for free for example with problems with money parenting or loneliness
thuiszorg,home care,Topic 3,Hulpverlening,hulp aan mensen die thuis wonen en niet goed voor zichzelf kunnen zorgen bijvoorbeeld omdat ze oud of ziek zijn,help for people who live at home and cannot take good care of themselves for example because they are old or sick
verhuurder,landlord,Topic 3,Hulpverlening,iemand die iets verhuurt bijvoorbeeld een woning,someone who rents out something for example a house
verwijzen,refer,Topic 3,Hulpverlening,iemand naar een andere plaats of persoon sturen,sending someone to another place or person
bijzonder onderwijs,special education,Topic 4,Soorten onderwijs,een school die lesgeeft vanuit een bepaalde godsdienst of overtuiging bijvoorbeeld een islamitische school of een montessorischool,a school that teaches from a specific religion or belief for example an Islamic school or a Montessori school
chronische ziekte,chronic illness,Topic 4,Soorten onderwijs,een ziekte die nooit helemaal verdwijnt = langdurige ziekte,an illness that never completely disappears = long-term illness
doorstromen,progress to next level,Topic 4,Soorten onderwijs,wanneer iemand verder gaat met een opleiding op een ander niveau; studenten kunnen bijvoorbeeld doorstromen vanaf het mbo naar het hbo,when someone continues with education at another level; students can for example progress from mbo to hbo
geloof,faith,Topic 4,Soorten onderwijs,het geloven in een god,believing in a god
handicap,disability,Topic 4,Soorten onderwijs,een beperking waardoor je een deel van je lichaam of je geest niet goed kunt gebruiken,a limitation that prevents you from using part of your body or mind properly
havo,havo,Topic 4,Soorten onderwijs,afkorting van: hoger algemeen voortgezet onderwijs,abbreviation for: higher general secondary education
hbo,hbo,Topic 4,Soorten onderwijs,afkorting van: hoger beroepsonderwijs,abbreviation for: higher professional education
ISK,ISK,Topic 4,Soorten onderwijs,afkorting van: internationale schakelklas,abbreviation for: international transition class
kwalificatieplicht,qualification obligation,Topic 4,Soorten onderwijs,jongeren tussen 16 en 18 jaar die nog geen diploma (havo vwo of mbo) hebben moeten ook verplicht naar school,young people between 16 and 18 years who do not yet have a diploma (havo vwo or mbo) must also attend school compulsorily
leerplichtig,subject to compulsory education,Topic 4,Soorten onderwijs,kinderen vanaf 5 jaar tot 16 jaar moeten verplicht naar school,children from 5 years to 16 years must attend school compulsorily
mbo,mbo,Topic 4,Soorten onderwijs,afkorting van: middelbaar beroepsonderwijs,abbreviation for: intermediate vocational education
middelbare school,secondary school,Topic 4,Soorten onderwijs,de school waar kinderen naartoe gaan als ze klaar zijn met de basisschool,the school where children go when they finish primary school
niveau,level,Topic 4,Soorten onderwijs,de graad; in het middelbaar onderwijs heb je verschillende leerniveaus,the grade; in secondary education you have different learning levels
open dag,open day,Topic 4,Soorten onderwijs,kennismakingsdag bij een instelling bijvoorbeeld een school om meer informatie te krijgen,introduction day at an institution for example a school to get more information
openbaar onderwijs,public education,Topic 4,Soorten onderwijs,een school waarbij het geloof geen rol speelt,a school where faith plays no role
plicht,obligation,Topic 4,Soorten onderwijs,iets wat je moet doen,something you must do
praktijkonderwijs,practical education,Topic 4,Soorten onderwijs,een vorm van voortgezet onderwijs bedoeld voor leerlingen die sterk zijn in praktische vakken,a form of secondary education intended for students who are strong in practical subjects
seksuele voorlichting,sexual education,Topic 4,Soorten onderwijs,uitleg over het lichaam seks liefde en relaties,explanation about the body sex love and relationships
speciaal onderwijs,special education,Topic 4,Soorten onderwijs,onderwijs voor leerlingen die het gewone onderwijs niet kunnen volgen bijvoorbeeld doordat ze veel extra aandacht nodig hebben,education for students who cannot follow regular education for example because they need a lot of extra attention
techniek,technology,Topic 4,Soorten onderwijs,alles wat mensen maken en gebruiken om problemen op te lossen,everything that people make and use to solve problems
universiteit,university,Topic 4,Soorten onderwijs,een instelling voor wetenschap en onderwijs in de wetenschap,an institution for science and education in science
vak,subject,Topic 4,Soorten onderwijs,een deel van een opleiding bijvoorbeeld de vakken Engels geschiedenis en economie,a part of an education for example the subjects English history and economics
vervolgonderwijs,further education,Topic 4,Soorten onderwijs,het onderwijs na de middelbare school zoals mbo hbo of de universiteit,education after secondary school such as mbo hbo or university
vmbo,vmbo,Topic 4,Soorten onderwijs,afkorting van: voorbereidend middelbaar beroepsonderwijs,abbreviation for: preparatory intermediate vocational education
voortgezet onderwijs,secondary education,Topic 4,Soorten onderwijs,onderwijs dat volgt na het basisonderwijs,education that follows after primary education
vwo,vwo,Topic 4,Soorten onderwijs,afkorting van: voorbereidend wetenschappelijk onderwijs dit is de hoogste richting op de middelbare school die voorbereidt op de universiteit,abbreviation for: preparatory scientific education this is the highest track in secondary school that prepares for university
leerplicht,compulsory education,Topic 4,Zo gaat dat op school,de wettelijke verplichting voor kinderen om naar school te gaan; in Nederland zijn kinderen tussen 5 en 16 jaar leerplichtig,the legal obligation for children to go to school; in the Netherlands children between 5 and 16 years are subject to compulsory education
leesouder,reading parent,Topic 4,Zo gaat dat op school,een vrijwilliger die kinderen op de basisschool helpt met lezen meestal de vader of moeder van een leerling,a volunteer who helps children in primary school with reading usually the father or mother of a student
ouderavond,parent evening,Topic 4,Zo gaat dat op school,een bijeenkomst op school waarbij de school alle ouders uitnodigt om te komen,a meeting at school where the school invites all parents to come
ouderbetrokkenheid,parental involvement,Topic 4,Zo gaat dat op school,betrokkenheid van ouders bij de opvoeding en het onderwijs van hun kind zowel thuis als op school,involvement of parents in the upbringing and education of their child both at home and at school
prestatie,achievement,Topic 4,Zo gaat dat op school,iets wat je goed doet,something you do well
rapport,report card,Topic 4,Zo gaat dat op school,een overzicht van de prestaties van een leerling op school,an overview of a student's achievements at school
schoolreisje,school trip,Topic 4,Zo gaat dat op school,een uitje voor de kinderen van een school,an outing for the children of a school
schoolvakantie,school holiday,Topic 4,Zo gaat dat op school,periode in het lesrooster waarin leerlingen vrij zijn,period in the lesson schedule when students are free
tienminutengesprek,ten-minute conversation,Topic 4,Zo gaat dat op school,gesprek tussen de leerkracht en de ouders van een leerling,conversation between the teacher and the parents of a student
toestemming,permission,Topic 4,Zo gaat dat op school,het feit dat iets mag = de goedkeuring,the fact that something is allowed = the approval
vakantierooster,holiday schedule,Topic 4,Zo gaat dat op school,een overzicht van de vakanties die leerlingen hebben,an overview of the holidays that students have
vrijwillig,voluntary,Topic 4,Zo gaat dat op school,iets wat je vrijwillig doet doe je omdat je dat zelf wilt,something you do voluntarily you do because you want to yourself
aanvullende beurs,supplementary grant,Topic 4,De kosten van het onderwijs,extra studievergoeding die je krijgt als het inkomen van je ouders onder een bepaalde grens ligt,extra study allowance you get if your parents' income is below a certain limit
basisbeurs,basic grant,Topic 4,De kosten van het onderwijs,vergoeding die je van de overheid krijgt als je studeert,allowance you get from the government when you study
Belastingdienst,Tax Authority,Topic 4,De kosten van het onderwijs,de instantie die zorgt dat de belastingen betaald worden,the agency that ensures taxes are paid
DUO,DUO,Topic 4,De kosten van het onderwijs,afkorting van: dienst uitvoering onderwijs regelt bijvoorbeeld de financieringen voor studenten,abbreviation for: education executive agency arranges for example financing for students
kinderbijslag,child benefit,Topic 4,De kosten van het onderwijs,een bedrag dat ouders iedere drie maanden van de overheid krijgen om kosten te betalen die horen bij de opvoeding van een kind,an amount that parents receive from the government every three months to pay costs associated with raising a child
kindgebonden budget,child-related budget,Topic 4,De kosten van het onderwijs,een extra vergoeding voor ouders met kinderen tot 18 jaar die onder een bepaalde inkomensgrens zitten,an extra allowance for parents with children up to 18 years who are below a certain income limit
omzetten in een gift,convert to a gift,Topic 4,De kosten van het onderwijs,wanneer je een diploma hebt behaald verandert je lening in een gift,when you have obtained a diploma your loan changes into a gift
overblijven,stay for lunch,Topic 4,De kosten van het onderwijs,in de middagpauze niet naar huis gaan maar op school blijven om te lunchen,not going home during lunch break but staying at school to have lunch
rekenhulp,calculation aid,Topic 4,De kosten van het onderwijs,een machine of website die je helpt met het berekenen van iets bijvoorbeeld hoeveel studiefinanciering je krijgt,a machine or website that helps you calculate something for example how much student financing you get
studentenreisproduct,student travel product,Topic 4,De kosten van het onderwijs,studiefinanciering waarmee je als student gratis kunt reizen in het openbaar vervoer,student financing with which you can travel for free in public transport as a student
studiefinanciering,student financing,Topic 4,De kosten van het onderwijs,geld dat je krijgt van de overheid om je studie te betalen,money you get from the government to pay for your studies
SVB,SVB,Topic 4,De kosten van het onderwijs,afkorting van: sociale verzekeringsbank instantie die sociale verzekeringen uitvoert zoals AOW en kinderbijslag,abbreviation for: social insurance bank agency that implements social insurance such as AOW and child benefit
tegemoetkoming scholieren,student allowance,Topic 4,De kosten van het onderwijs,vergoeding die je krijgt als je op de middelbare school zit en ouder dan 18 bent,allowance you get if you are in secondary school and older than 18
vrijwillige ouderbijdrage,voluntary parent contribution,Topic 4,De kosten van het onderwijs,een vrijwillige bijdrage die ouders van schoolgaande kinderen betalen voor bepaalde kosten die een school maakt,a voluntary contribution that parents of school-going children pay for certain costs that a school incurs
buitenschoolse opvang,after-school care,Topic 4,Kinderopvang,opvang voor kinderen voor en na de lessen op de basisschool,care for children before and after lessons at primary school
crèche,daycare,Topic 4,Kinderopvang,een plaats waar overdag op kleine kinderen wordt gepast,a place where small children are looked after during the day
gastouder,childminder,Topic 4,Kinderopvang,iemand die op kinderen past in de omgeving van zijn of haar eigen huis of bij het kind thuis,someone who looks after children in the vicinity of his or her own house or at the child's home
kinderdagverblijf,daycare center,Topic 4,Kinderopvang,een plaats waar kinderen overdag verzorgd worden bijv. als hun ouders werken = de crèche,a place where children are cared for during the day e.g. when their parents work = the daycare
kinderopvangtoeslag,childcare allowance,Topic 4,Kinderopvang,bedrag dat ouders maandelijks van de overheid krijgen om de kosten voor de kinderopvang te betalen,amount that parents receive monthly from the government to pay for childcare costs
oppas,babysitter,Topic 4,Kinderopvang,iemand die oppast op kleine kinderen,someone who babysits small children
pedagogisch medewerker,pedagogical worker,Topic 4,Kinderopvang,iemand die voor zijn beroep kinderen begeleidt en helpt bij hun ontwikkeling bijvoorbeeld in een opvang,someone who guides children and helps with their development as a profession for example in childcare
peuteropvang,toddler care,Topic 4,Kinderopvang,opvang voor kinderen van 2 tot 4 jaar oud bedoeld als voorbereiding op de basisschool = de voorschool,care for children from 2 to 4 years old intended as preparation for primary school = preschool
registreren,register,Topic 4,Kinderopvang,opnemen in een register zodat het officieel is,record in a register so that it is official
tegemoetkoming,allowance,Topic 4,Kinderopvang,een bedrag dat je krijgt bijvoorbeeld van de overheid waarmee je een deel van de kosten kunt betalen,an amount you receive for example from the government with which you can pay part of the costs
voorschool,preschool,Topic 4,Kinderopvang,opvang voor kinderen van 2 tot 4 jaar oud bedoeld als voorbereiding op de basisschool = de peuteropvang,care for children from 2 to 4 years old intended as preparation for primary school = toddler care
wachtlijst,waiting list,Topic 4,Kinderopvang,een lijst van personen die wachten op bijvoorbeeld een plek op de opvang,a list of people waiting for for example a place in childcare
aansprakelijk,liable,Topic 4,Hulp bij opvoeding,iemand die aansprakelijk is voor iets is daar verantwoordelijk voor,someone who is liable for something is responsible for it
adviseur,advisor,Topic 4,Hulp bij opvoeding,iemand die advies geeft,someone who gives advice
consultatiebureau,consultation office,Topic 4,Hulp bij opvoeding,een instelling die medische zorg voor alle kinderen van 0 tot 4 jaar verzorgt,an institution that provides medical care for all children from 0 to 4 years
doorverwijzen,refer,Topic 4,Hulp bij opvoeding,naar een andere instantie of persoon sturen,send to another agency or person
eetprobleem,eating problem,Topic 4,Hulp bij opvoeding,de ziekte waarbij iemand extreem bezig is met eten en/of zijn gewicht,the illness where someone is extremely preoccupied with eating and/or their weight
gedrag,behavior,Topic 4,Hulp bij opvoeding,de manier waarop iemand doet,the way someone acts
geestelijke ontwikkeling,mental development,Topic 4,Hulp bij opvoeding,het veranderen van de hersenen en het denken bijvoorbeeld als een kind ouder wordt,the changing of the brain and thinking for example as a child gets older
jeugdarts,youth doctor,Topic 4,Hulp bij opvoeding,een arts die gespecialiseerd is in zorg aan kinderen en jongeren,a doctor who specializes in care for children and young people
jeugdzorg,youth care,Topic 4,Hulp bij opvoeding,de zorg die gaat over het veilig laten opgroeien van kinderen en jongeren,the care that is about letting children and young people grow up safely
kinderbescherming,child protection,Topic 4,Hulp bij opvoeding,instantie die zorgt voor de bescherming van kinderen zodat kinderen veilig kunnen opgroeien,agency that ensures the protection of children so that children can grow up safely
opvoedcursus,parenting course,Topic 4,Hulp bij opvoeding,lessen waarin je tips krijgt over het verzorgen en grootbrengen van kinderen,lessons in which you get tips about caring for and raising children
opvoeder,educator,Topic 4,Hulp bij opvoeding,iemand die een kind opvoedt,someone who raises a child
opvoeding,upbringing,Topic 4,Hulp bij opvoeding,het grootbrengen van een kind om ervoor te zorgen dat het goed gedrag vertoont,raising a child to ensure that it shows good behavior
rechter,judge,Topic 4,Hulp bij opvoeding,iemand bij een rechtbank die beslist of mensen zich volgens de wet hebben gedragen en welke straf zij eventueel moeten krijgen,someone at a court who decides whether people have behaved according to the law and what punishment they may have to receive
spijbelen,truancy,Topic 4,Hulp bij opvoeding,niet naar school gaan terwijl dat wel moet,not going to school while you should
